wavelength_nm,absorbance
200,0.022149
201,0.013868
202,0.029616
203,0.046323
204,0.044929
205,0.053783
206,0.066795
207,0.080719
208,0.080269
209,0.097374
210,0.123976
211,0.1383
212,0.168781
213,0.182605
214,0.197672
215,0.224989
216,0.242324
217,0.279717
218,0.304819
219,0.328058
220,0.359041
221,0.381953
222,0.395939
223,0.405121
224,0.435532
225,0.449777
226,0.46077
227,0.47395
228,0.470906
229,0.492008
230,0.480772
231,0.490924
232,0.479107
233,0.481885
234,0.492098
235,0.48077
236,0.483252
237,0.477087
238,0.472148
239,0.476207
240,0.465199
241,0.454602
242,0.456589
243,0.460508
244,0.456961
245,0.444398
246,0.445535
247,0.442955
248,0.440408
249,0.431406
250,0.430665
251,0.425284
252,0.427371
253,0.421809
254,0.410973
255,0.40334
256,0.399338
257,0.387856
258,0.379454
259,0.373799
260,0.368836
261,0.36006
262,0.360869
263,0.358444
264,0.342358
265,0.346379
266,0.341964
267,0.342342
268,0.339041
269,0.331257
270,0.332452
271,0.340018
272,0.347076
273,0.334098
274,0.350748
275,0.359841
276,0.359038
277,0.369251
278,0.370671
279,0.382035
280,0.383927
281,0.390481
282,0.417653
283,0.4198
284,0.434828
285,0.443331
286,0.456981
287,0.477481
288,0.489698
289,0.510667
290,0.527003
291,0.542737
292,0.559066
293,0.582706
294,0.586851
295,0.609209
296,0.632471
297,0.650461
298,0.654368
299,0.676796
300,0.701647
301,0.713582
302,0.727614
303,0.740485
304,0.753807
305,0.770401
306,0.78003
307,0.792306
308,0.802993
309,0.808108
310,0.821644
311,0.839609
312,0.821181
313,0.834875
314,0.831329
315,0.838248
316,0.834413
317,0.835232
318,0.83307
319,0.822544
320,0.820113
321,0.794489
322,0.804219
323,0.787272
324,0.778682
325,0.754224
326,0.742123
327,0.732106
328,0.715747
329,0.701089
330,0.688439
331,0.657388
332,0.653742
333,0.63167
334,0.613333
335,0.589901
336,0.582729
337,0.551706
338,0.550683
339,0.524458
340,0.517064
341,0.501857
342,0.494624
343,0.475159
344,0.460668
345,0.450548
346,0.449228
347,0.436418
348,0.423658
349,0.417167
350,0.40433
351,0.408706
352,0.39374
353,0.402741
354,0.397143
355,0.406661
356,0.388603
357,0.393508
358,0.403626
359,0.402042
360,0.394773
361,0.401982
362,0.404084
363,0.409154
364,0.408421
365,0.415922
366,0.413268
367,0.426905
368,0.433734
369,0.435807
370,0.434467
371,0.452906
372,0.455381
373,0.455494
374,0.463101
375,0.462327
376,0.469746
377,0.476995
378,0.490299
379,0.485329
380,0.495584
381,0.493317
382,0.500367
383,0.501181
384,0.508491
385,0.503358
386,0.499571
387,0.501358
388,0.505895
389,0.502163
390,0.509653
391,0.504076
392,0.516341
393,0.493696
394,0.500454
395,0.490506
396,0.489763
397,0.488516
398,0.471441
399,0.478753
400,0.481171
401,0.463257
402,0.460095
403,0.456787
404,0.443436
405,0.433544
406,0.417003
407,0.422956
408,0.410478
409,0.397029
410,0.393435
411,0.380497
412,0.371175
413,0.367048
414,0.34758
415,0.349437
416,0.327348
417,0.320948
418,0.32369
419,0.309731
420,0.294654
421,0.2796
422,0.271797
423,0.265046
424,0.255264
425,0.245169
426,0.236166
427,0.226136
428,0.211134
429,0.206982
430,0.205546
431,0.185971
432,0.183748
433,0.172822
434,0.169864
435,0.160084
436,0.162259
437,0.150668
438,0.135147
439,0.138684
440,0.125528
441,0.120758
442,0.119673
443,0.110453
444,0.112314
445,0.099329
446,0.095598
447,0.091147
448,0.087558
449,0.091973
450,0.086046
451,0.087997
452,0.08756
453,0.068249
454,0.070876
455,0.062071
456,0.061569
457,0.059986
458,0.055716
459,0.053728
460,0.056339
461,0.04929
462,0.057847
463,0.047638
464,0.06467
465,0.047251
466,0.048639
467,0.040769
468,0.054584
469,0.050737
470,0.045797
471,0.036865
472,0.043825
473,0.036557
474,0.048706
475,0.044901
476,0.040845
477,0.027843
478,0.034585
479,0.042444
480,0.044673
481,0.043825
482,0.030164
483,0.039252
484,0.042533
485,0.029089
486,0.03705
487,0.038265
488,0.035267
489,0.02746
490,0.034889
491,0.034781
492,0.035584
493,0.033463
494,0.034008
495,0.035966
496,0.038328
497,0.034628
498,0.034114
499,0.036615
500,0.026693
