wavelength_nm,absorbance
200,0.035062
201,0.031913
202,0.053638
203,0.05345
204,0.061132
205,0.082442
206,0.094248
207,0.115597
208,0.143512
209,0.169387
210,0.191543
211,0.229522
212,0.262969
213,0.298958
214,0.330918
215,0.372303
216,0.394799
217,0.440114
218,0.47458
219,0.514874
220,0.544982
221,0.577459
222,0.614316
223,0.627676
224,0.649259
225,0.660392
226,0.671379
227,0.675917
228,0.678434
229,0.678124
230,0.672993
231,0.656017
232,0.644175
233,0.620753
234,0.609381
235,0.597143
236,0.579517
237,0.559497
238,0.546608
239,0.529745
240,0.519523
241,0.503102
242,0.489543
243,0.483945
244,0.461005
245,0.47084
246,0.446926
247,0.452498
248,0.46018
249,0.458359
250,0.44918
251,0.450402
252,0.459718
253,0.450483
254,0.46323
255,0.45237
256,0.454229
257,0.459952
258,0.452892
259,0.44759
260,0.452051
261,0.452747
262,0.446924
263,0.452926
264,0.451557
265,0.460713
266,0.457967
267,0.458252
268,0.461207
269,0.465211
270,0.469847
271,0.465225
272,0.468428
273,0.482374
274,0.479162
275,0.478688
276,0.492157
277,0.497125
278,0.492761
279,0.506552
280,0.514618
281,0.518797
282,0.526168
283,0.522843
284,0.53773
285,0.541555
286,0.547767
287,0.561508
288,0.571909
289,0.581111
290,0.586711
291,0.587974
292,0.598379
293,0.608675
294,0.614009
295,0.622522
296,0.634308
297,0.638553
298,0.643735
299,0.653481
300,0.666536
301,0.671339
302,0.680448
303,0.68915
304,0.69086
305,0.702442
306,0.706267
307,0.703573
308,0.720644
309,0.714951
310,0.712225
311,0.71707
312,0.718244
313,0.723508
314,0.721166
315,0.719123
316,0.720977
317,0.715973
318,0.711232
319,0.70611
320,0.700609
321,0.680256
322,0.680355
323,0.662693
324,0.663511
325,0.652892
326,0.646861
327,0.63596
328,0.619222
329,0.603438
330,0.595397
331,0.577603
332,0.567004
333,0.558539
334,0.538024
335,0.531462
336,0.517959
337,0.497528
338,0.494377
339,0.481091
340,0.4667
341,0.451513
342,0.440508
343,0.432062
344,0.427832
345,0.411938
346,0.410475
347,0.395031
348,0.393213
349,0.388623
350,0.394348
351,0.371393
352,0.380901
353,0.371172
354,0.369617
355,0.366026
356,0.365964
357,0.362044
358,0.369158
359,0.359986
360,0.367942
361,0.36027
362,0.364225
363,0.360909
364,0.369991
365,0.376772
366,0.371794
367,0.373683
368,0.371908
369,0.37883
370,0.375097
371,0.381135
372,0.389357
373,0.397314
374,0.407095
375,0.393482
376,0.40556
377,0.402159
378,0.402367
379,0.407028
380,0.406903
381,0.408518
382,0.407153
383,0.403248
384,0.403057
385,0.413707
386,0.409117
387,0.40709
388,0.409113
389,0.411642
390,0.407128
391,0.401188
392,0.407838
393,0.406831
394,0.398606
395,0.397475
396,0.394985
397,0.390335
398,0.383422
399,0.378567
400,0.373096
401,0.359992
402,0.362878
403,0.34712
404,0.343584
405,0.347136
406,0.338259
407,0.334474
408,0.319038
409,0.307627
410,0.304617
411,0.298772
412,0.291082
413,0.288448
414,0.2736
415,0.269235
416,0.255058
417,0.254128
418,0.244222
419,0.232892
420,0.227651
421,0.220274
422,0.212324
423,0.214613
424,0.19837
425,0.190471
426,0.174567
427,0.173381
428,0.169627
429,0.161016
430,0.164451
431,0.150841
432,0.151719
433,0.140015
434,0.134239
435,0.128179
436,0.123365
437,0.126488
438,0.102391
439,0.099264
440,0.101776
441,0.100197
442,0.099378
443,0.094502
444,0.086766
445,0.089994
446,0.086771
447,0.079641
448,0.08043
449,0.074387
450,0.067821
451,0.07139
452,0.066308
453,0.06365
454,0.068666
455,0.048095
456,0.051279
457,0.050757
458,0.053176
459,0.052293
460,0.045022
461,0.046306
462,0.045783
463,0.060569
464,0.05649
465,0.045059
466,0.044477
467,0.039983
468,0.035675
469,0.043578
470,0.038793
471,0.042605
472,0.034885
473,0.038423
474,0.042341
475,0.042989
476,0.042875
477,0.034259
478,0.044321
479,0.036149
480,0.042718
481,0.039407
482,0.032671
483,0.037515
484,0.040568
485,0.041567
486,0.037803
487,0.045619
488,0.042973
489,0.03681
490,0.041481
491,0.047005
492,0.047022
493,0.031721
494,0.033065
495,0.044473
496,0.032272
497,0.030942
498,0.034866
499,0.039131
500,0.036592
