wavelength_nm,absorbance
200,0.002156
201,0.014093
202,0.015032
203,0.03133
204,0.01826
205,0.024337
206,0.04312
207,0.050734
208,0.04701
209,0.055772
210,0.071429
211,0.066232
212,0.079782
213,0.100089
214,0.122592
215,0.126022
216,0.143309
217,0.163774
218,0.184384
219,0.186248
220,0.205174
221,0.230774
222,0.229228
223,0.25813
224,0.262701
225,0.283294
226,0.295695
227,0.305561
228,0.318385
229,0.33725
230,0.352647
231,0.357789
232,0.369205
233,0.381573
234,0.382678
235,0.400125
236,0.408436
237,0.424967
238,0.415963
239,0.42129
240,0.432598
241,0.436857
242,0.4328
243,0.435411
244,0.441108
245,0.433545
246,0.434039
247,0.433695
248,0.434197
249,0.420391
250,0.407283
251,0.399122
252,0.393758
253,0.383796
254,0.3794
255,0.362982
256,0.354059
257,0.341979
258,0.331935
259,0.329444
260,0.314602
261,0.300281
262,0.287442
263,0.27798
264,0.273219
265,0.266823
266,0.252413
267,0.251881
268,0.236904
269,0.245706
270,0.247038
271,0.241454
272,0.253629
273,0.24223
274,0.252025
275,0.256177
276,0.2627
277,0.270852
278,0.281572
279,0.296309
280,0.311223
281,0.317421
282,0.336267
283,0.344096
284,0.368577
285,0.37849
286,0.407003
287,0.432616
288,0.441084
289,0.451689
290,0.482339
291,0.514292
292,0.533932
293,0.555923
294,0.583744
295,0.605047
296,0.632953
297,0.655407
298,0.682346
299,0.699745
300,0.725573
301,0.741617
302,0.761691
303,0.794435
304,0.806357
305,0.827957
306,0.84166
307,0.853814
308,0.871276
309,0.891445
310,0.897906
311,0.895375
312,0.910622
313,0.926603
314,0.919859
315,0.913317
316,0.932357
317,0.923921
318,0.915981
319,0.908544
320,0.908465
321,0.890631
322,0.888442
323,0.872759
324,0.857267
325,0.841513
326,0.82344
327,0.812369
328,0.784093
329,0.761095
330,0.753104
331,0.733111
332,0.711957
333,0.691074
334,0.666783
335,0.652211
336,0.627809
337,0.60586
338,0.587661
339,0.58135
340,0.544062
341,0.538833
342,0.511529
343,0.504762
344,0.48917
345,0.467775
346,0.469025
347,0.45455
348,0.436318
349,0.443561
350,0.439794
351,0.434403
352,0.424003
353,0.419014
354,0.423451
355,0.424128
356,0.421127
357,0.411151
358,0.418868
359,0.422735
360,0.414443
361,0.430486
362,0.444723
363,0.441654
364,0.451973
365,0.451689
366,0.45719
367,0.466719
368,0.4679
369,0.474737
370,0.494089
371,0.502432
372,0.497902
373,0.515833
374,0.517935
375,0.527578
376,0.535393
377,0.545081
378,0.546905
379,0.560021
380,0.560067
381,0.567034
382,0.564274
383,0.584178
384,0.579137
385,0.583587
386,0.574074
387,0.580131
388,0.592199
389,0.587926
390,0.576486
391,0.591235
392,0.581693
393,0.589919
394,0.579485
395,0.577734
396,0.578892
397,0.563519
398,0.557853
399,0.556233
400,0.555216
401,0.53706
402,0.527856
403,0.532885
404,0.51701
405,0.509214
406,0.492263
407,0.488688
408,0.482113
409,0.476598
410,0.457032
411,0.458728
412,0.435336
413,0.423961
414,0.423988
415,0.405408
416,0.389665
417,0.379906
418,0.375906
419,0.364637
420,0.340909
421,0.333171
422,0.322171
423,0.304981
424,0.298383
425,0.28741
426,0.28221
427,0.271643
428,0.252933
429,0.243062
430,0.237412
431,0.220934
432,0.217353
433,0.204411
434,0.190688
435,0.181919
436,0.185912
437,0.169327
438,0.170768
439,0.151929
440,0.148817
441,0.152769
442,0.128097
443,0.117326
444,0.127828
445,0.111015
446,0.109703
447,0.101528
448,0.101023
449,0.089984
450,0.089572
451,0.088677
452,0.077146
453,0.075054
454,0.07342
455,0.064529
456,0.066726
457,0.066699
458,0.061339
459,0.059531
460,0.058537
461,0.053083
462,0.058117
463,0.060162
464,0.048561
465,0.051942
466,0.046723
467,0.048551
468,0.05359
469,0.046969
470,0.034062
471,0.044745
472,0.047965
473,0.039627
474,0.045286
475,0.035887
476,0.031193
477,0.039182
478,0.028862
479,0.036388
480,0.044014
481,0.027075
482,0.03012
483,0.031211
484,0.036098
485,0.034396
486,0.0435
487,0.041119
488,0.038693
489,0.036863
490,0.038171
491,0.03167
492,0.040692
493,0.030512
494,0.040762
495,0.042709
496,0.037763
497,0.035897
498,0.039066
499,0.022247
500,0.038925
