wavelength_nm,absorbance
200,0.040095
201,0.040656
202,0.052081
203,0.071349
204,0.088714
205,0.106403
206,0.118652
207,0.154541
208,0.176055
209,0.214286
210,0.242186
211,0.289794
212,0.325701
213,0.367729
214,0.423259
215,0.468504
216,0.512436
217,0.569645
218,0.607033
219,0.65322
220,0.695105
221,0.727646
222,0.764576
223,0.786172
224,0.807006
225,0.829221
226,0.82543
227,0.820082
228,0.83388
229,0.827617
230,0.798142
231,0.771073
232,0.755369
233,0.729656
234,0.702671
235,0.670184
236,0.650024
237,0.622507
238,0.587249
239,0.573644
240,0.558436
241,0.530677
242,0.512045
243,0.499448
244,0.492156
245,0.472884
246,0.475795
247,0.469358
248,0.477847
249,0.468008
250,0.477591
251,0.466698
252,0.47757
253,0.479974
254,0.478601
255,0.488074
256,0.497773
257,0.495633
258,0.494402
259,0.507474
260,0.508607
261,0.516505
262,0.52299
263,0.520628
264,0.526244
265,0.541199
266,0.541577
267,0.537028
268,0.557611
269,0.560026
270,0.560108
271,0.561852
272,0.576339
273,0.578322
274,0.591918
275,0.586642
276,0.590203
277,0.591126
278,0.59905
279,0.60128
280,0.607148
281,0.60161
282,0.604597
283,0.606822
284,0.615051
285,0.620526
286,0.613432
287,0.615567
288,0.620931
289,0.62017
290,0.627598
291,0.614414
292,0.622874
293,0.624871
294,0.619468
295,0.627606
296,0.62962
297,0.634732
298,0.642625
299,0.637972
300,0.635928
301,0.642023
302,0.648613
303,0.640401
304,0.641779
305,0.649498
306,0.646432
307,0.650779
308,0.647629
309,0.650543
310,0.641576
311,0.645075
312,0.642388
313,0.635429
314,0.631025
315,0.638232
316,0.629517
317,0.621956
318,0.621308
319,0.621502
320,0.59948
321,0.596543
322,0.592115
323,0.595675
324,0.582119
325,0.575931
326,0.558178
327,0.549113
328,0.547
329,0.535496
330,0.527924
331,0.51448
332,0.506578
333,0.495907
334,0.48872
335,0.478844
336,0.457602
337,0.444947
338,0.450639
339,0.442258
340,0.42297
341,0.410413
342,0.411303
343,0.407306
344,0.403879
345,0.39083
346,0.38006
347,0.371456
348,0.36998
349,0.363279
350,0.355142
351,0.36514
352,0.36002
353,0.353534
354,0.340886
355,0.346575
356,0.34334
357,0.340561
358,0.342828
359,0.338772
360,0.338382
361,0.337298
362,0.335562
363,0.3255
364,0.334309
365,0.331563
366,0.328572
367,0.342939
368,0.343767
369,0.342713
370,0.338267
371,0.344129
372,0.338601
373,0.3402
374,0.334794
375,0.342353
376,0.341276
377,0.335289
378,0.341405
379,0.341391
380,0.350134
381,0.345697
382,0.341171
383,0.341687
384,0.339929
385,0.337754
386,0.332396
387,0.335278
388,0.330783
389,0.326472
390,0.332516
391,0.329514
392,0.31664
393,0.321494
394,0.323553
395,0.320439
396,0.316637
397,0.308147
398,0.299917
399,0.294491
400,0.296658
401,0.292109
402,0.291461
403,0.285514
404,0.274517
405,0.263932
406,0.26274
407,0.259604
408,0.251889
409,0.244281
410,0.242235
411,0.232696
412,0.226064
413,0.224368
414,0.214917
415,0.211815
416,0.205831
417,0.19312
418,0.190127
419,0.193076
420,0.174942
421,0.164571
422,0.159937
423,0.163045
424,0.157415
425,0.151191
426,0.152007
427,0.128535
428,0.137733
429,0.138164
430,0.120707
431,0.119477
432,0.113154
433,0.108069
434,0.106461
435,0.110559
436,0.108531
437,0.094581
438,0.101441
439,0.089233
440,0.093966
441,0.082181
442,0.080239
443,0.078498
444,0.08897
445,0.07554
446,0.06585
447,0.07143
448,0.063077
449,0.060482
450,0.065151
451,0.059294
452,0.058816
453,0.056052
454,0.05614
455,0.055233
456,0.042959
457,0.054003
458,0.045242
459,0.042119
460,0.047698
461,0.047541
462,0.043147
463,0.049583
464,0.03878
465,0.04257
466,0.041202
467,0.043231
468,0.044305
469,0.037876
470,0.045605
471,0.042169
472,0.032712
473,0.032113
474,0.040955
475,0.039738
476,0.040066
477,0.040214
478,0.041211
479,0.044414
480,0.034621
481,0.034184
482,0.034409
483,0.040741
484,0.045087
485,0.037125
486,0.027327
487,0.030949
488,0.034919
489,0.036107
490,0.03671
491,0.038708
492,0.036981
493,0.043262
494,0.035108
495,0.034158
496,0.040355
497,0.030859
498,0.039796
499,0.038387
500,0.037156
